# PRISMA — Prestige-ordered ingest list
# Generated by: pipeline/sources/ingest_priority.py
# Tier filter: all tiers  |  Mode: wins only
# Total candidates after catalog dedup: 570
# Output limit: 500
# Format: TMDB_ID  # Title (Year) — score: N.N  [Nw wins, Nn noms]
#
# Run:  python pipeline/queue_manager.py --add-list pipeline/sources/most_awarded_not_in_catalog.txt --source awards

424  # Schindler's List (1993) — score: 20.00  [20 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-adapted-screenplay +2 more]
12501  # The Big Country (1958) — score: 20.00  [20 wins, 0 noms]  [award_oscar-best-supporting-actor]
9764  # Dersu Uzala (1975) — score: 19.00  [19 wins, 0 noms]  [award_oscar-best-intl-film]
5179  # The Prime of Miss Jean Brodie (1969) — score: 19.00  [19 wins, 0 noms]  [award_oscar-best-actress]
26686  # California Suite (1978) — score: 19.00  [19 wins, 0 noms]  [award_oscar-best-supporting-actress]
872585  # Oppenheimer (2023) — score: 18.40  [20 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actor +2 more]
770  # Gone with the Wind (1939) — score: 18.00  [18 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actress +3 more]
2897  # Around the World in 80 Days (1956) — score: 18.00  [18 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-adapted-screenplay, award_oscar-best-film-editing]
9443  # Chariots of Fire (1981) — score: 18.00  [18 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-original-screenplay, award_oscar-best-original-score]
194662  # Birdman (2014) — score: 18.00  [18 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-original-screenplay]
702  # A Streetcar Named Desire (1951) — score: 18.00  [18 wins, 0 noms]  [award_oscar-best-actress, award_oscar-best-supporting-actor, award_oscar-best-supporting-actress]
42458  # A Touch of Class (1973) — score: 18.00  [18 wins, 0 noms]  [award_oscar-best-actress]
42448  # Harry and Tonto (1974) — score: 18.00  [18 wins, 0 noms]  [award_oscar-best-actor]
66027  # Women in Love (1969) — score: 17.00  [17 wins, 0 noms]  [award_oscar-best-actress]
21711  # The Candidate (1972) — score: 17.00  [17 wins, 0 noms]  [award_oscar-best-original-screenplay]
859  # Dangerous Liaisons (1988) — score: 17.00  [17 wins, 0 noms]  [award_oscar-best-adapted-screenplay]
219  # Volver (2006) — score: 17.00  [17 wins, 0 noms]  [award_sundance-grand-jury-drama]
28580  # The Lost Weekend (1945) — score: 16.00  [16 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actor +1 more]
16619  # Ordinary People (1980) — score: 16.00  [16 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-adapted-screenplay +1 more]
606  # Out of Africa (1985) — score: 16.00  [16 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-adapted-screenplay +1 more]
33  # Unforgiven (1992) — score: 16.00  [16 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-supporting-actor +1 more]
281957  # The Revenant (2015) — score: 16.00  [16 wins, 0 noms]  [award_oscar-best-director, award_oscar-best-actor]
600354  # The Father (2020) — score: 16.00  [16 wins, 0 noms]  [award_oscar-best-actor, award_oscar-best-adapted-screenplay]
30197  # The Producers (1967) — score: 16.00  [16 wins, 0 noms]  [award_oscar-best-original-screenplay]
32082  # The Hospital (1971) — score: 16.00  [16 wins, 0 noms]  [award_oscar-best-original-screenplay]
11202  # Patton (1970) — score: 15.00  [15 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actor +2 more]
510  # One Flew Over the Cuckoo's Nest (1975) — score: 15.00  [15 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actress +2 more]
1124566  # Sentimental Value (2025) — score: 15.00  [15 wins, 0 noms]  [award_oscar-best-intl-film]
37853  # Mister Roberts (1955) — score: 15.00  [15 wins, 0 noms]  [award_oscar-best-supporting-actor]
55106  # Butterflies Are Free (1972) — score: 15.00  [15 wins, 0 noms]  [award_oscar-best-supporting-actress]
322  # Mystic River (2003) — score: 14.00  [14 wins, 0 noms]  [award_oscar-best-actor, award_oscar-best-supporting-actor]
28569  # Splendor in the Grass (1961) — score: 14.00  [14 wins, 0 noms]  [award_oscar-best-original-screenplay]
153  # Lost in Translation (2003) — score: 14.00  [14 wins, 0 noms]  [award_oscar-best-original-screenplay]
623  # A Fish Called Wanda (1988) — score: 14.00  [14 wins, 0 noms]  [award_oscar-best-supporting-actor]
467244  # The Zone of Interest (2023) — score: 13.00  [13 wins, 0 noms]  [award_oscar-best-intl-film]
16561  # The Sunshine Boys (1975) — score: 13.00  [13 wins, 0 noms]  [award_oscar-best-supporting-actor]
11327  # Midnight Express (1978) — score: 13.00  [15 wins, 0 noms]  [award_oscar-best-adapted-screenplay, award_oscar-best-original-score, award_gg-best-film-drama]
43266  # How Green Was My Valley (1941) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-supporting-actor]
887  # The Best Years of Our Lives (1946) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actor +3 more]
874  # A Man for All Seasons (1966) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actor +1 more]
10633  # In the Heat of the Night (1967) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-actor, award_oscar-best-adapted-screenplay +1 more]
403  # Driving Miss Daisy (1989) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-actress, award_oscar-best-adapted-screenplay]
1934  # Shakespeare in Love (1998) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-actress, award_oscar-best-original-screenplay +1 more]
14  # American Beauty (1999) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actor +1 more]
70  # Million Dollar Baby (2004) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actress +1 more]
1422  # The Departed (2006) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-adapted-screenplay +1 more]
12162  # The Hurt Locker (2008) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-original-screenplay +1 more]
25673  # A Place in the Sun (1951) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-director, award_oscar-best-adapted-screenplay, award_oscar-best-film-editing]
2721  # Z (1969) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-intl-film, award_oscar-best-film-editing]
42223  # Madame Rosa (1977) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-intl-film]
1976  # Jezebel (1938) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-actress, award_oscar-best-supporting-actress]
2438  # The Country Girl (1954) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-actress, award_oscar-best-adapted-screenplay]
24748  # Hud (1963) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-actress, award_oscar-best-supporting-actor]
433  # Mary Poppins (1964) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-actress, award_oscar-best-original-score, award_oscar-best-film-editing]
2039  # Moonstruck (1987) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-actress, award_oscar-best-original-screenplay, award_oscar-best-supporting-actress]
275  # Fargo (1996) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-actress, award_oscar-best-original-screenplay]
11897  # How the West Was Won (1962) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-original-screenplay, award_oscar-best-film-editing]
773  # Little Miss Sunshine (2006) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-original-screenplay, award_oscar-best-supporting-actor]
37799  # The Social Network (2010) — score: 12.00  [12 wins, 0 noms]  [award_oscar-best-adapted-screenplay, award_oscar-best-original-score, award_oscar-best-film-editing]
409  # The English Patient (1996) — score: 11.20  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-supporting-actress +3 more]
42238  # Black and White in Color (1976) — score: 11.00  [11 wins, 0 noms]  [award_oscar-best-intl-film]
4176  # Murder on the Orient Express (1974) — score: 11.00  [11 wins, 0 noms]  [award_oscar-best-supporting-actress]
792  # Platoon (1986) — score: 10.80  [12 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-film-editing +1 more]
857  # Saving Private Ryan (1998) — score: 10.40  [12 wins, 0 noms]  [award_oscar-best-director, award_oscar-best-film-editing, award_gg-best-film-drama]
424694  # Bohemian Rhapsody (2018) — score: 10.40  [12 wins, 0 noms]  [award_oscar-best-actor, award_oscar-best-film-editing, award_gg-best-film-drama]
549509  # The Brutalist (2024) — score: 10.40  [12 wins, 0 noms]  [award_oscar-best-actor, award_oscar-best-original-score, award_gg-best-film-drama]
28966  # Wings (1927) — score: 10.00  [10 wins, 0 noms]  [award_oscar-best-picture]
34106  # You Can't Take It With You (1938) — score: 10.00  [10 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director]
27367  # Mrs. Miniver (1942) — score: 10.00  [10 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actress +2 more]
17661  # Going My Way (1944) — score: 10.00  [10 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actor +2 more]
197  # Braveheart (1995) — score: 10.00  [10 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director]
98  # Gladiator (2000) — score: 10.00  [10 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-actor]
284293  # Still Alice (2014) — score: 10.00  [10 wins, 0 noms]  [award_oscar-best-actress]
288  # High Noon (1952) — score: 10.00  [10 wins, 0 noms]  [award_oscar-best-actor, award_oscar-best-film-editing]
11  # Star Wars: Episode IV – A New Hope (1977) — score: 10.00  [10 wins, 0 noms]  [award_oscar-best-original-score, award_oscar-best-film-editing]
43278  # The Life of Emile Zola (1937) — score: 9.00  [9 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-adapted-screenplay, award_oscar-best-supporting-actor]
3116  # Midnight Cowboy (1969) — score: 9.00  [9 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-adapted-screenplay]
1574  # Chicago (2002) — score: 9.00  [9 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-supporting-actress, award_oscar-best-film-editing]
1640  # Crash (2004) — score: 9.00  [9 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-original-screenplay, award_oscar-best-film-editing]
68734  # Argo (2012) — score: 9.00  [9 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-adapted-screenplay, award_oscar-best-film-editing]
1675  # Day for Night (1973) — score: 9.00  [9 wins, 0 noms]  [award_oscar-best-intl-film]
1233413  # Sinners (2025) — score: 9.00  [9 wins, 0 noms]  [award_oscar-best-actor, award_oscar-best-original-screenplay, award_oscar-best-original-score]
5143  # Hannah and Her Sisters (1986) — score: 9.00  [9 wins, 0 noms]  [award_oscar-best-original-screenplay, award_oscar-best-supporting-actor, award_oscar-best-supporting-actress]
45269  # The King's Speech (2010) — score: 8.00  [8 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actor +1 more]
596  # The Grapes of Wrath (1940) — score: 8.00  [8 wins, 0 noms]  [award_oscar-best-director, award_oscar-best-supporting-actress]
2898  # As Good as It Gets (1997) — score: 8.00  [8 wins, 0 noms]  [award_oscar-best-actress, award_oscar-best-actor]
251  # Ghost (1990) — score: 8.00  [8 wins, 0 noms]  [award_oscar-best-original-screenplay, award_oscar-best-supporting-actress]
32499  # The Bad and the Beautiful (1952) — score: 8.00  [8 wins, 0 noms]  [award_oscar-best-adapted-screenplay, award_oscar-best-supporting-actress]
1715  # The Cider House Rules (1999) — score: 8.00  [8 wins, 0 noms]  [award_oscar-best-adapted-screenplay, award_oscar-best-supporting-actor]
10907  # The Adventures of Robin Hood (1938) — score: 8.00  [8 wins, 0 noms]  [award_oscar-best-original-score, award_oscar-best-film-editing]
1000837  # I'm Still Here (2024) — score: 7.00  [7 wins, 0 noms]  [award_oscar-best-intl-film]
642  # Butch Cassidy and the Sundance Kid (1969) — score: 7.00  [7 wins, 0 noms]  [award_oscar-best-original-screenplay]
3033  # Gods and Monsters (1998) — score: 7.00  [7 wins, 0 noms]  [award_oscar-best-adapted-screenplay]
398818  # Call Me by Your Name (2017) — score: 7.00  [7 wins, 0 noms]  [award_oscar-best-adapted-screenplay]
204  # The Wages of Fear (1953) — score: 6.00  [6 wins, 0 noms]  [award_cannes-palme-dor]
42726  # A Man and a Woman (1966) — score: 6.00  [6 wins, 0 noms]  [award_cannes-palme-dor, award_oscar-best-intl-film, award_oscar-best-original-screenplay]
16858  # All That Jazz (1979) — score: 6.00  [6 wins, 0 noms]  [award_cannes-palme-dor, award_oscar-best-film-editing]
143  # All Quiet on the Western Front (1930) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director]
25430  # All the King's Men (1950) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-actor, award_oscar-best-supporting-actress]
2769  # An American in Paris (1951) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-original-screenplay]
11426  # From Here to Eternity (1953) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-adapted-screenplay +3 more]
11113  # My Fair Lady (1964) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-picture, award_oscar-best-director, award_oscar-best-actor]
3109  # The Quiet Man (1952) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-director]
11816  # On Golden Pond (1982) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-actress, award_oscar-best-actor, award_oscar-best-adapted-screenplay]
13681  # Places in the Heart (1984) — score: 6.00  [6 wins, 0 noms]  [award_oscar-best-actress, award_oscar-best-original-screenplay]
